gas label	"CO"	"CH"	"CO2"	"O2"	"NO"	"L"
gas label	"CO"	"CH"	"CO2"	"O2"	"NO"	"L"
rude	0	10	20	30	40	50
prec	0	10	20	30	40	50
prec	60	70	80	90	100	200
rude	60	70	80	90	100	200
prec	300	400	500	600	700	800
rude	300	400	500	600	700	800
prec	900	1000	2000	3000	4000	0
rude	900	1000	2000	3000	4000	0
rude	10	20	30	40	50	60
prec	10	20	30	40	50	60
rude	70	80	90	100	200	300
prec	70	80	90	100	200	300
prec	400	500	600	700	800	900
rude	400	500	600	700	800	900
rude	1000	2000	3000	4000	0	10
prec	1000	2000	3000	4000	0	10
prec	20	30	40	50	60	70
rude	20	30	40	50	60	70
prec	80	90	100	200	300	400
rude	80	90	100	200	300	400
rude	500	600	700	800	900	1000
prec	500	600	700	800	900	1000
prec	2000	3000	4000	0	10	20
rude	2000	3000	4000	0	10	20
prec	30	40	50	60	70	80
rude	30	40	50	60	70	80
gas label	"CO"	"CH"	"CO2"	"O2"	"NO"	"L"
prec	0	10	20	30	40	50
rude	0	10	20	30	40	50
prec	60	70	80	90	100	200
rude	60	70	80	90	100	200
rude	300	400	500	600	700	800
prec	300	400	500	600	700	800
rude	900	1000	2000	3000	4000	0
prec	900	1000	2000	3000	4000	0
rude	10	20	30	40	50	60
prec	10	20	30	40	50	60
rude	70	80	90	100	200	300
prec	70	80	90	100	200	300
rude	400	500	600	700	800	900
prec	400	500	600	700	800	900
prec	1000	2000	3000	4000	0	10
rude	1000	2000	3000	4000	0	10
prec	20	30	40	50	60	70
rude	20	30	40	50	60	70
rude	80	90	100	200	300	400
prec	80	90	100	200	300	400
rude	500	600	700	800	900	1000
prec	500	600	700	800	900	1000
prec	2000	3000	4000	0	10	20
rude	2000	3000	4000	0	10	20
prec	30	40	50	60	70	80
rude	30	40	50	60	70	80
gas label	"CO"	"CH"	"CO2"	"O2"	"NO"	"L"
rude	0	10	20	30	40	50
prec	0	10	20	30	40	50
rude	60	70	80	90	100	200
prec	60	70	80	90	100	200
rude	300	400	500	600	700	800
prec	300	400	500	600	700	800
rude	900	1000	2000	3000	4000	0
prec	900	1000	2000	3000	4000	0
rude	10	20	30	40	50	60
prec	10	20	30	40	50	60
rude	70	80	90	100	200	300
prec	70	80	90	100	200	300
prec	400	500	600	700	800	900
rude	400	500	600	700	800	900
prec	1000	2000	3000	4000	0	10
rude	1000	2000	3000	4000	0	10
rude	20	30	40	50	60	70
prec	20	30	40	50	60	70
rude	80	90	100	200	300	400
prec	80	90	100	200	300	400
prec	500	600	700	800	900	1000
rude	500	600	700	800	900	1000
rude	2000	3000	4000	0	10	20
prec	2000	3000	4000	0	10	20
rude	30	40	50	60	70	80
prec	30	40	50	60	70	80
gas label	"CO"	"CH"	"CO2"	"O2"	"NO"	"L"
prec	0	10	20	30	40	50
rude	0	10	20	30	40	50
prec	60	70	80	90	100	200
rude	60	70	80	90	100	200
prec	300	400	500	600	700	800
rude	300	400	500	600	700	800
prec	900	1000	2000	3000	4000	0
rude	900	1000	2000	3000	4000	0
rude	10	20	30	40	50	60
prec	10	20	30	40	50	60
prec	70	80	90	100	200	300
rude	70	80	90	100	200	300
prec	400	500	600	700	800	900
rude	400	500	600	700	800	900
rude	1000	2000	3000	4000	0	10
prec	1000	2000	3000	4000	0	10
prec	20	30	40	50	60	70
rude	20	30	40	50	60	70
prec	80	90	100	200	300	400
rude	80	90	100	200	300	400
prec	500	600	700	800	900	1000
rude	500	600	700	800	900	1000
prec	2000	3000	4000	0	10	20
rude	2000	3000	4000	0	10	20
prec	30	40	50	60	70	80
rude	30	40	50	60	70	80
gas label	"CO"	"CH"	"CO2"	"O2"	"NO"	"L"
prec	0	10	20	30	40	50
rude	0	10	20	30	40	50
prec	60	70	80	90	100	200
rude	60	70	80	90	100	200
rude	300	400	500	600	700	800
prec	300	400	500	600	700	800
rude	900	1000	2000	3000	4000	0
prec	900	1000	2000	3000	4000	0
prec	10	20	30	40	50	60
rude	10	20	30	40	50	60
rude	70	80	90	100	200	300
prec	70	80	90	100	200	300
prec	400	500	600	700	800	900
rude	400	500	600	700	800	900
rude	1000	2000	3000	4000	0	10
prec	1000	2000	3000	4000	0	10
prec	20	30	40	50	60	70
rude	20	30	40	50	60	70
rude	80	90	100	200	300	400
prec	80	90	100	200	300	400
rude	500	600	700	800	900	1000
prec	500	600	700	800	900	1000
prec	2000	3000	4000	0	10	20
rude	2000	3000	4000	0	10	20
rude	30	40	50	60	70	80
prec	30	40	50	60	70	80
gas label	"CO"	"CH"	"CO2"	"O2"	"NO"	"L"
prec	0	10	20	30	40	50
rude	0	10	20	30	40	50
rude	60	70	80	90	100	200
prec	60	70	80	90	100	200
prec	300	400	500	600	700	800
rude	300	400	500	600	700	800
prec	900	1000	2000	3000	4000	0
rude	900	1000	2000	3000	4000	0
rude	10	20	30	40	50	60
prec	10	20	30	40	50	60
rude	70	80	90	100	200	300
prec	70	80	90	100	200	300
rude	400	500	600	700	800	900
prec	400	500	600	700	800	900
prec	1000	2000	3000	4000	0	10
rude	1000	2000	3000	4000	0	10
prec	20	30	40	50	60	70
rude	20	30	40	50	60	70
rude	80	90	100	200	300	400
prec	80	90	100	200	300	400
prec	500	600	700	800	900	1000
rude	500	600	700	800	900	1000
rude	2000	3000	4000	0	10	20
prec	2000	3000	4000	0	10	20
prec	30	40	50	60	70	80
rude	30	40	50	60	70	80
gas label	"CO"	"CH"	"CO2"	"O2"	"NO"	"L"
rude	0	10	20	30	40	50
prec	0	10	20	30	40	50
prec	60	70	80	90	100	200
rude	60	70	80	90	100	200
rude	300	400	500	600	700	800
prec	300	400	500	600	700	800
prec	900	1000	2000	3000	4000	0
rude	900	1000	2000	3000	4000	0
rude	10	20	30	40	50	60
prec	10	20	30	40	50	60
prec	70	80	90	100	200	300
rude	70	80	90	100	200	300
rude	400	500	600	700	800	900
prec	400	500	600	700	800	900
rude	1000	2000	3000	4000	0	10
prec	1000	2000	3000	4000	0	10
rude	20	30	40	50	60	70
prec	20	30	40	50	60	70
prec	80	90	100	200	300	400
rude	80	90	100	200	300	400
rude	500	600	700	800	900	1000
prec	500	600	700	800	900	1000
prec	2000	3000	4000	0	10	20
rude	2000	3000	4000	0	10	20
prec	30	40	50	60	70	80
rude	30	40	50	60	70	80
gas label	"CO"	"CH"	"CO2"	"O2"	"NO"	"L"
rude	0	10	20	30	40	50
prec	0	10	20	30	40	50
rude	60	70	80	90	100	200
prec	60	70	80	90	100	200
prec	300	400	500	600	700	800
rude	300	400	500	600	700	800
prec	900	1000	2000	3000	4000	0
rude	900	1000	2000	3000	4000	0
rude	10	20	30	40	50	60
prec	10	20	30	40	50	60
rude	70	80	90	100	200	300
prec	70	80	90	100	200	300
prec	400	500	600	700	800	900
rude	400	500	600	700	800	900
rude	1000	2000	3000	4000	0	10
prec	1000	2000	3000	4000	0	10
prec	20	30	40	50	60	70
rude	20	30	40	50	60	70
prec	80	90	100	200	300	400
rude	80	90	100	200	300	400
rude	500	600	700	800	900	1000
prec	500	600	700	800	900	1000
prec	2000	3000	4000	0	10	20
rude	2000	3000	4000	0	10	20
rude	30	40	50	60	70	80
prec	30	40	50	60	70	80
